,Bandit,Reward,Algorithm
0,2,1.9681418253242202,Thompson Sampling
1,2,3.1991740670011954,Thompson Sampling
2,2,3.2305598785673166,Thompson Sampling
3,2,2.4560170529390977,Thompson Sampling
4,2,4.017357083619797,Thompson Sampling
5,2,3.0781699892592704,Thompson Sampling
6,2,2.5630628420617914,Thompson Sampling
7,2,1.8527284379322202,Thompson Sampling
8,2,1.486614540589063,Thompson Sampling
9,2,2.973178550743829,Thompson Sampling
10,2,2.638687258795158,Thompson Sampling
11,2,3.062657714936612,Thompson Sampling
12,2,4.752339923175707,Thompson Sampling
13,2,4.502960219430573,Thompson Sampling
14,2,2.797683140190561,Thompson Sampling
15,2,2.562115415023597,Thompson Sampling
16,2,2.0253634354746852,Thompson Sampling
17,2,2.5239920532503253,Thompson Sampling
18,2,4.135844834556002,Thompson Sampling
19,2,1.7923763496090293,Thompson Sampling
20,2,3.7197621405801056,Thompson Sampling
21,2,2.492714974806825,Thompson Sampling
22,2,1.55864376707984,Thompson Sampling
23,2,5.052508600770635,Thompson Sampling
24,2,0.9749109087923973,Thompson Sampling
25,2,1.0120510792662913,Thompson Sampling
26,2,3.58653651617783,Thompson Sampling
27,2,2.704674740390973,Thompson Sampling
28,2,4.336333098924204,Thompson Sampling
29,2,3.8390899763487307,Thompson Sampling
30,2,4.34648534839314,Thompson Sampling
31,2,2.264707893225112,Thompson Sampling
32,2,3.974600348696589,Thompson Sampling
33,2,2.1152173452910357,Thompson Sampling
34,2,4.47779137207208,Thompson Sampling
35,2,3.5033205726387173,Thompson Sampling
36,2,4.591209512230795,Thompson Sampling
37,2,2.1631942433039417,Thompson Sampling
38,2,3.562246602747579,Thompson Sampling
39,2,1.7126466758609913,Thompson Sampling
40,2,3.131979690449123,Thompson Sampling
41,2,1.8133734765724405,Thompson Sampling
42,0,1.316185963644273,Thompson Sampling
43,2,2.8534324546208336,Thompson Sampling
44,2,2.9145693839983466,Thompson Sampling
45,2,4.6379916982654965,Thompson Sampling
46,2,3.921932273826232,Thompson Sampling
47,2,3.2442369199587997,Thompson Sampling
48,2,2.8834401022455936,Thompson Sampling
49,2,4.788870571837014,Thompson Sampling
50,2,2.139586113181829,Thompson Sampling
51,2,1.3775036207403324,Thompson Sampling
52,2,3.78352823333985,Thompson Sampling
53,2,3.3855950881456014,Thompson Sampling
54,2,3.112167603294296,Thompson Sampling
55,2,2.794512668200114,Thompson Sampling
56,2,1.9829223447370354,Thompson Sampling
57,2,4.808960631508954,Thompson Sampling
58,2,1.504635399735015,Thompson Sampling
59,2,2.7544087305092413,Thompson Sampling
60,2,3.623612937053547,Thompson Sampling
61,2,4.041248739282185,Thompson Sampling
62,2,3.8489985344286994,Thompson Sampling
63,2,2.987330123632752,Thompson Sampling
64,2,2.130907073923029,Thompson Sampling
65,2,3.1277951086855933,Thompson Sampling
66,2,2.8235926392274497,Thompson Sampling
67,2,1.9971959988932453,Thompson Sampling
68,2,2.5738958009183763,Thompson Sampling
69,2,2.8218466580820536,Thompson Sampling
70,2,4.200710376053598,Thompson Sampling
71,2,3.4892781187677713,Thompson Sampling
72,2,2.3418327870976885,Thompson Sampling
73,2,3.551844652857097,Thompson Sampling
74,2,4.061947564814693,Thompson Sampling
