,Bandit,Reward,Algorithm
0,A Bandit with 1 Win Rate,-0.4221440137785184,EpsilonGreedy
1,A Bandit with 2 Win Rate,2.0273020954746737,EpsilonGreedy
2,A Bandit with 3 Win Rate,2.997426173757278,EpsilonGreedy
3,A Bandit with 4 Win Rate,0.0,EpsilonGreedy
