,Bandit,Reward,Algorithm
0,A Bandit with 1 Win Rate,0.6580929818221365,ThompsonSampling
1,A Bandit with 2 Win Rate,1.4302157306093468,ThompsonSampling
2,A Bandit with 3 Win Rate,2.9764325788408454,ThompsonSampling
3,A Bandit with 4 Win Rate,4.00551269528092,ThompsonSampling
